cabang,latitude_cabang,longitude_cabang,lama_beroperasi_bulan,Omset Jan25,Omset Jan26,Growth,Persen Growth,Kategori_By_StdDev,Kategori_Percentile,Kategori_Atasan,Kategori_ZScore,Kategori_IQR,Kategori_Final
Store-0211,-5.352464234,104.5124301,67,50000000,45679131,-4320869,-8.64,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0212,-4.50545154,105.7373944,6,50000000,51667494,1667494,3.33,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0213,-4.777797355,104.6335932,79,86193491,101255873,15062381,17.48,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0214,-5.231713123,106.4132349,27,50000000,67915977,17915977,35.83,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0215,-6.681703867,111.1248712,10,68025319,88801634,20776315,30.54,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0216,-5.070346169,103.4158471,73,85850975,147117520,61266545,71.36,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0217,-7.368037822,102.8116965,97,53461401,12266353,-41195048,-77.06,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0218,-6.56402791,110.5235258,96,72731000,17835681,-54895319,-75.48,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0219,-6.936845322,106.3222908,48,50000000,50082437,82437,0.16,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0220,-6.085988791,105.1729182,70,58004621,95064937,37060317,63.89,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0221,-2.73681215,109.4453617,105,94691018,54328099,-40362919,-42.63,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0222,-9.009697789,105.3315612,59,72144656,-220253,-72364909,-100.31,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0223,-5.179409714,111.4106243,100,50000000,71423588,21423588,42.85,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0224,-8.627873807,108.5404147,59,75114926,97458829,22343903,29.75,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0225,-6.916697799,105.6258215,2,100811790,77011804,-23799986,-23.61,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0226,-4.575374105,112.2388705,29,50000000,40289208,-9710792,-19.42,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0227,-6.112379971,105.3313127,68,131621961,106890525,-24731436,-18.79,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0228,-7.825417167,108.7008384,65,53663689,66769121,13105431,24.42,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0229,-7.281755564,107.5938315,83,84756582,80474161,-4282420,-5.05,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0230,-5.189403377,110.0999532,26,134671381,188220165,53548784,39.76,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0231,-7.304349948,110.749378,89,50000000,2907467,-47092533,-94.19,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0232,-5.884112116,106.9256104,10,50000000,42862963,-7137037,-14.27,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0233,-6.14044224,104.9620553,53,55221934,41393170,-13828764,-25.04,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0234,-7.186200521,107.9955304,79,50000000,54873186,4873186,9.75,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0235,-2.992883866,105.1513116,59,185945085,183115167,-2829917,-1.52,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0236,-5.257921467,111.8790681,22,50000000,75956876,25956876,51.91,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0237,-9.24651388,107.1869383,51,50000000,22813265,-27186735,-54.37,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0238,-5.929118528,105.9322961,48,74226621,90422617,16195996,21.82,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0239,-7.201479697,107.3073008,21,50000000,71166728,21166728,42.33,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0240,-4.930149998,103.4777843,120,51783989,100598632,48814642,94.27,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0241,-7.397581108,104.4165649,22,79436773,80016154,579381,0.73,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0242,-6.380904662,109.8466348,100,53773092,71506568,17733475,32.98,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0243,-5.451319082,105.2033643,98,62082077,29703473,-32378604,-52.15,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0244,-4.910167209,104.2283225,30,50000000,12160876,-37839124,-75.68,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0245,-8.009244611,108.1872319,25,50000000,76895488,26895488,53.79,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0246,-6.710551854,109.8098604,109,79634337,95384088,15749751,19.78,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0247,-6.921217967,108.6429833,28,188189472,627743175,439553703,233.57,Tinggi,Atas,Sangat Baik,High Performer,Extreme High,Outstanding
Store-0248,-7.188793849,109.3357192,65,66388936,43195221,-23193716,-34.94,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0249,-3.56061864,104.9536123,113,75162160,105825379,30663219,40.8,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0250,-5.601327434,103.2910733,45,99496562,193772255,94275693,94.75,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0251,-8.100125932,110.5989341,68,50000000,68394112,18394112,36.79,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0252,-4.832007079,106.0389004,7,182362823,239010662,56647838,31.06,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0253,-3.025565704,106.2185175,49,74134923,89215630,15080706,20.34,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0254,-4.660102109,110.1660854,9,174793204,99920083,-74873120,-42.84,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0255,-8.487854949,108.236175,36,50000000,87111459,37111459,74.22,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0256,-6.935151109,107.9853194,83,195454301,186787260,-8667041,-4.43,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0257,-4.308433276,112.2581059,1,104541355,146545372,42004016,40.18,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0258,-7.270304198,105.2368044,10,91497669,52591604,-38906064,-42.52,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0259,-5.543070858,109.1652003,36,75558268,55022750,-20535518,-27.18,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0260,-5.04684892,106.9881328,73,56563973,68758256,12194282,21.56,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0261,-7.599195707,107.5170807,109,134937059,143178891,8241832,6.11,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0262,-6.298088034,110.6667711,46,71429101,127237386,55808285,78.13,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0263,-11.07070101,108.1151894,106,50000000,58435387,8435387,16.87,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0264,-7.745381462,108.1913402,32,50000000,23162045,-26837955,-53.68,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0265,-6.587652227,109.5268683,32,58731840,91435316,32703476,55.68,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0266,-8.080474773,105.9332182,6,79082280,76238724,-2843556,-3.6,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0267,-3.760183044,104.7475758,48,63468032,93899400,30431368,47.95,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0268,-8.354012067,104.233577,38,136438221,165101755,28663534,21.01,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0269,-6.86886673,101.9297085,17,50000000,29137635,-20862365,-41.72,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0270,-6.012689134,111.9861178,74,71567582,90584370,19016788,26.57,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0271,-4.046890066,104.0875791,114,50000000,103924463,53924463,107.85,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0272,-8.362593227,106.2924659,27,103577158,144717444,41140286,39.72,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0273,-4.464054372,106.1535668,54,62042164,73023186,10981022,17.7,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0274,-6.193450408,107.6141167,50,84458089,137678287,53220197,63.01,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0275,-7.681062977,108.884943,35,50000000,64213369,14213369,28.43,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0276,-5.515644789,108.9967837,116,141481420,181635784,40154364,28.38,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0277,-5.910210457,105.3879064,85,122673241,93642610,-29030631,-23.67,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0278,-7.109125316,106.4277957,25,93187727,120541978,27354252,29.35,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0279,-6.104096873,107.5520499,28,60750730,98062453,37311723,61.42,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0280,-6.786770395,106.2238722,111,92981804,80482738,-12499066,-13.44,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0281,-6.038523982,110.8639639,15,50000000,88489916,38489916,76.98,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0282,-5.215603988,108.0730374,4,109708060,127625316,17917256,16.33,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0283,-3.829774776,108.6827945,93,176651343,149251341,-27400002,-15.51,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0284,-8.065523248,108.5028032,73,124817888,502301708,377483820,302.43,Tinggi,Atas,Sangat Baik,High Performer,Extreme High,Outstanding
Store-0285,-3.009249938,109.7792846,27,50000000,54264115,4264115,8.53,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0286,-9.136931699,107.2981539,26,81560072,122650522,41090450,50.38,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0287,-6.436477643,103.6035201,19,50000000,54164827,4164827,8.33,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0288,-5.32632419,107.8448199,120,92566160,108864241,16298081,17.61,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0289,-5.787312198,105.2172078,92,86043372,120239080,34195708,39.74,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0290,-7.14284928,105.5240583,17,50000000,65817941,15817941,31.64,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0291,-6.520983376,108.31151,43,50000000,20089364,-29910636,-59.82,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0292,-6.948301402,109.9413077,41,55401469,41634342,-13767126,-24.85,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0293,-7.092847135,106.8987789,42,54815533,86157080,31341548,57.18,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0294,-4.934396854,107.6176825,50,50000000,57357268,7357268,14.71,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0295,-5.673276771,111.1011374,84,82920033,82132912,-787120,-0.95,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0296,-7.248164393,107.4474829,109,76353480,50131434,-26222045,-34.34,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0297,-4.859400187,113.3498078,40,58435756,44884824,-13550932,-23.19,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0298,-5.747850719,108.2593741,39,50000000,19564027,-30435973,-60.87,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0299,-4.989506822,102.4436931,113,123188256,142835269,19647013,15.95,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0300,-5.264356737,108.7289541,117,177280586,170300157,-6980429,-3.94,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0301,-7.452292516,107.798496,23,50000000,40668242,-9331758,-18.66,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0302,-7.04907156,110.0699819,111,50000000,58637532,8637532,17.28,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0303,-5.087859592,108.5285534,96,88165351,118634261,30468910,34.56,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0304,-5.293244602,106.49946,52,52967145,107908861,54941716,103.73,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0305,-6.240152391,103.7848544,47,60391666,411553742,351162075,581.47,Tinggi,Atas,Sangat Baik,Extreme Superstar,Extreme High,Outstanding
Store-0306,-6.032808925,106.3230419,63,102338028,170265141,67927113,66.38,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0307,-4.292302656,104.7192989,97,50000000,79462031,29462031,58.92,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0308,-7.096157083,105.3942914,110,144816994,128650046,-16166949,-11.16,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0309,-5.388153928,108.317046,69,68586640,87879676,19293036,28.13,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0310,-6.512088979,111.0203613,43,51295014,52164295,869281,1.69,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0311,-6.535321805,107.8322788,48,62236955,79307022,17070068,27.43,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0312,-4.560634722,103.8558923,34,64196395,115787982,51591587,80.37,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0313,-4.970675477,107.9571067,40,50000000,72112125,22112125,44.22,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0314,-4.988535546,109.8371787,75,161007730,225965228,64957498,40.34,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0315,-4.250581789,105.3211427,61,67308385,69184692,1876307,2.79,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0316,-6.177294238,106.5105571,50,85651841,51937335,-33714506,-39.36,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0317,-5.185870543,106.8823205,67,116212371,129764212,13551840,11.66,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0318,-6.674200135,104.8833542,62,50000000,84132163,34132163,68.26,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0319,-5.722550471,108.4663011,58,87232117,51391307,-35840811,-41.09,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0320,-6.404014582,106.5432296,33,55919032,43503008,-12416024,-22.2,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0321,-6.063306053,107.8944311,75,109131318,136469487,27338169,25.05,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0322,-5.316064462,104.6268696,16,50000000,40306904,-9693096,-19.39,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0323,-7.436131025,105.7519542,82,61869842,54630491,-7239352,-11.7,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0324,-3.070219086,108.6515534,94,50000000,51528028,1528028,3.06,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0325,-7.717826072,105.9135171,48,85101717,55635506,-29466211,-34.62,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0326,-8.030082919,111.1630096,119,87052898,70543426,-16509472,-18.96,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0327,-4.47163369,105.8465095,10,50000000,74068558,24068558,48.14,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0328,-5.021305959,107.4073118,82,50000000,33852604,-16147396,-32.29,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0329,-5.272620274,109.1770771,38,61441790,34459698,-26982092,-43.91,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0330,-5.266281736,103.2996857,19,50000000,47399500,-2600500,-5.2,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0331,-6.227170159,102.443578,36,108818315,162442044,53623729,49.28,Sedang,Atas,Baik,Normal,Normal,High Performer
Store-0332,-7.554681557,103.0314592,59,52613099,58991452,6378353,12.12,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0333,-6.095093163,110.0020603,63,50000000,50708378,708378,1.42,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0334,-7.224542567,105.4659546,77,52436148,63853780,11417631,21.77,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0335,-4.7461204,113.2410982,120,50000000,25085851,-24914149,-49.83,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0336,-6.429386072,105.434981,46,50000000,69894113,19894113,39.79,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0337,-7.447045795,107.3069783,3,50000000,67668701,17668701,35.34,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0338,-6.690878762,110.7008749,74,70114844,72658373,2543529,3.63,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0339,-5.589402819,111.8608322,102,145718101,233494285,87776184,60.24,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0340,-7.054386829,111.9993589,65,79233574,59346071,-19887504,-25.1,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0341,-7.442130593,109.8665156,119,50000000,237329348,187329348,374.66,Tinggi,Atas,Sangat Baik,High Performer,Extreme High,Outstanding
Store-0342,-5.843269183,109.4057563,120,86317466,108915159,22597694,26.18,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0343,-5.841350143,108.3269174,91,50000000,53268948,3268948,6.54,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0344,-6.969214763,108.7915027,110,50000000,59602527,9602527,19.21,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0345,-6.915357458,105.4676357,8,50000000,57854705,7854705,15.71,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0346,-5.860725094,104.8001028,51,50000000,84405658,34405658,68.81,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0347,-8.380926512,106.8371639,110,51963171,198459062,146495891,281.92,Tinggi,Atas,Sangat Baik,High Performer,Extreme High,Outstanding
Store-0348,-8.319995662,106.4201384,106,72191444,384574946,312383502,432.72,Tinggi,Atas,Sangat Baik,Extreme Superstar,Extreme High,Outstanding
Store-0349,-7.286466332,105.7125299,81,61961625,100038354,38076729,61.45,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0350,-6.528970728,108.5865686,73,51157509,49202577,-1954932,-3.82,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0351,-5.742438652,109.233863,6,50000000,78010662,28010662,56.02,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0352,-3.995765675,107.0666172,107,94579160,177787483,83208323,87.98,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0353,-4.922310565,110.5394252,89,50000000,51964099,1964099,3.93,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0354,-6.448707795,103.9913772,39,104596092,154022445,49426353,47.25,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0355,-6.237324312,106.3614514,113,50000000,35028236,-14971764,-29.94,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0356,-7.712594047,105.0535442,60,50000000,75094666,25094666,50.19,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0357,-6.236569704,102.1792585,28,50000000,63988480,13988480,27.98,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0358,-6.641787958,106.6388983,97,50000000,69460766,19460766,38.92,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0359,-5.724722159,106.5412312,54,117881150,111017069,-6864081,-5.82,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0360,-7.449646415,110.6292244,37,89466683,47915370,-41551313,-46.44,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0361,-5.429780229,108.4226292,9,118101297,165495446,47394148,40.13,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0362,-3.90969163,104.2851329,82,89817063,33648951,-56168112,-62.54,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0363,-6.371940223,111.4808314,56,50000000,53652990,3652990,7.31,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0364,-5.606232417,109.8981842,59,53839958,84877227,31037269,57.65,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0365,-5.173584012,108.3008443,85,50000000,63837955,13837955,27.68,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0366,-6.810630708,106.2793898,2,145887297,288760133,142872836,97.93,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0367,-5.872661277,104.4470019,61,50000000,80502183,30502183,61,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0368,-6.189911399,105.9150831,58,112247702,105337806,-6909896,-6.16,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0369,-6.062285852,109.5674715,107,112197618,135862940,23665322,21.09,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0370,-7.368314676,111.5570658,60,196814481,232448081,35633600,18.11,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0371,-6.172034739,110.7037088,102,51350644,29122455,-22228190,-43.29,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0372,-5.461802563,105.6234764,40,100673513,82938911,-17734602,-17.62,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0373,-4.032084588,104.0465564,36,258134442,251860649,-6273793,-2.43,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0374,-4.769893761,107.1978156,114,50000000,19275590,-30724410,-61.45,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0375,-2.979026314,102.4245016,107,50000000,60949869,10949869,21.9,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0376,-7.359821344,107.6535193,37,50000000,55018563,5018563,10.04,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0377,-4.900319045,106.4765935,79,100697066,53454276,-47242790,-46.92,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0378,-5.933786991,105.6805087,92,50000000,68084257,18084257,36.17,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0379,-2.9240956,102.8588423,18,52514956,78055558,25540602,48.63,Sedang,Atas,Baik,Normal,Normal,High Performer
Store-0380,-7.421247428,108.1296003,98,85359978,110183837,24823859,29.08,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0381,-7.468382763,105.5138479,63,73375843,78539501,5163658,7.04,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0382,-7.107888968,103.9208079,22,84754290,121756051,37001762,43.66,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0383,-9.394643586,99.66494447,11,75028148,1707090938,1632062789,2175.27,Tinggi,Atas,Sangat Baik,Extreme Superstar,Extreme High,Outstanding
Store-0384,-6.997432533,106.7768127,58,141430571,187107190,45676619,32.3,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0385,-7.347498992,111.276229,57,50000000,39763566,-10236434,-20.47,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0386,-5.98320932,110.998748,77,50000000,65532015,15532015,31.06,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0387,-5.696166036,105.7028594,4,50000000,83909613,33909613,67.82,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0388,-3.394543741,105.3400698,86,108051129,766657825,658606696,609.53,Tinggi,Atas,Sangat Baik,Extreme Superstar,Extreme High,Outstanding
Store-0389,-4.783164243,108.0175356,7,112699907,229814916,117115009,103.92,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0390,-7.074155483,104.3496364,61,86075484,85193006,-882478,-1.03,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0391,-7.556422007,107.6000797,107,133564652,162008954,28444303,21.3,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0392,-5.470921243,108.7608007,54,50000000,46550288,-3449712,-6.9,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0393,-8.189149811,109.9129331,88,178542007,230195698,51653691,28.93,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0394,-3.461611851,106.5952148,68,163765023,82392037,-81372986,-49.69,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0395,-4.439639819,106.3364156,92,102090803,100210625,-1880178,-1.84,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0396,-6.912563478,104.6506435,79,191247574,145950877,-45296697,-23.68,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0397,-8.778501794,104.7783991,1,50000000,62706767,12706767,25.41,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0398,-4.177991439,106.2794028,55,50000000,79888948,29888948,59.78,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0399,-6.380609768,107.7640138,3,50000000,72920124,22920124,45.84,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0400,-4.352075532,109.1295616,78,101228166,25442308,-75785858,-74.87,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0401,-8.600441488,104.8376526,38,50000000,100841393,50841393,101.68,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0402,-7.107862534,110.5773214,114,103439462,136344793,32905332,31.81,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0403,-6.20093445,106.167791,1,149427471,132900844,-16526627,-11.06,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0404,-6.138329109,106.7921818,102,99644732,125836466,26191734,26.29,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0405,-6.883898207,104.9775708,38,77846587,98902215,21055628,27.05,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0406,-5.274525101,100.7849993,85,50000000,46663026,-3336974,-6.67,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0407,-7.810230644,109.0557135,112,50000000,63958333,13958333,27.92,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0408,-6.422369228,108.6877097,29,138970376,132996190,-5974186,-4.3,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0409,-6.028356552,106.1422811,5,104804724,108814050,4009326,3.83,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0410,-5.437141749,107.0130768,113,64140612,59361389,-4779223,-7.45,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0411,-5.141377683,108.135448,74,51097916,32034892,-19063024,-37.31,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0412,-7.895763138,102.9392354,92,50000000,62916729,12916729,25.83,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0413,-8.509971256,105.5229683,21,50000000,71705989,21705989,43.41,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0414,-4.292284767,108.8312617,114,206714971,290631625,83916653,40.6,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0415,-5.710328982,103.7098764,71,50000000,76398505,26398505,52.8,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0416,-7.331529805,107.5794948,67,73565586,97822814,24257228,32.97,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0417,-3.882072037,103.4541455,109,120175819,118602693,-1573125,-1.31,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0418,-6.035288049,108.011675,47,50000000,30679240,-19320760,-38.64,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0419,-4.439854224,106.7564963,84,73355371,48193964,-25161407,-34.3,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0420,-6.107522278,102.8077705,83,115265569,96792123,-18473446,-16.03,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0421,-3.117678113,109.7574484,35,66154243,53870722,-12283522,-18.57,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
